[2025-11-06 03:48:51][INFO] Catalog viewed | Page: 1 | Status: published | Search: '' | IP: 127.0.0.1
[2025-11-06 03:48:51][INFO] Catalog viewed | Page: 1 | Status: published | Search: '' | IP: 127.0.0.1
[2025-11-06 03:49:16][INFO] Catalog viewed | Page: 1 | Status: archived | Search: '' | IP: 127.0.0.1
[2025-11-06 03:49:18][INFO] Catalog viewed | Page: 1 | Status: draft | Search: '' | IP: 127.0.0.1
[2025-11-06 03:49:20][INFO] Catalog viewed | Page: 1 | Status: published | Search: '' | IP: 127.0.0.1
[2025-11-06 03:49:30][INFO] Catalog viewed | Page: 1 | Status: published | Search: '' | IP: 127.0.0.1
[2025-11-06 05:36:28][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-06 06:28:41][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:28:45][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-06 06:28:59][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-06 06:29:32][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:29:38][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:31:40][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:31:57][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:33:36][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 06:34:21][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-06 12:15:59][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-06 13:09:16][INFO] Viewed catalog item: Curd | IP: ::1
[2025-11-06 13:37:41][INFO] Viewed catalog item: Milk | IP: ::1
[2025-11-06 13:47:52][INFO] Viewed catalog item: Curd | IP: ::1
[2025-11-06 14:30:42][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 14:30:45][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-06 16:46:42][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-06 16:57:14][INFO] Viewed catalog item: Curd | IP: ::1
[2025-11-06 17:09:52][INFO] Viewed catalog item: TestA | IP: ::1
[2025-11-06 17:10:11][INFO] Payment canceled for order 65 | IP: ::1
[2025-11-06 17:17:15][INFO] Viewed catalog item: Curd | IP: ::1
[2025-11-06 17:19:28][INFO] Viewed catalog item: Milk | IP: ::1
[2025-11-06 17:20:25][INFO] Viewed catalog item: TestA | IP: ::1
